unique_identifier,region,seoul_metro_area,n_fam_members,n_under_age10,live_toge_couple,both_work,only_man_works,only_woman_works,both_dont_work,GENDER_RESP,AGE_RESP,HOUSE_TYPE,HOUSE_TYPE2,HOUSE_SQ_METER,HOUSE_RENT,HOUSE_RENT2,HOUSEHOLD_INC,TIME_SHORTAGE,WORK_GIVEUP,WORK_GIVEUP2,HOW_TIRED,REASON_TIRED,REASON_TIRED2,SATIS_LIFE,SATIS_LEISURE,SATIS_HOUWORK_DIVISION,GENDER_ROLE,edu_level,working_status,reason_not_working,working_field,position_type,hired_status,working_time,weekly_worktime,week_sidejob_worktime,dayoff_type,health_status
8942,38,N,4,0,Y,N,Y,N,N,2,47,2,APT,84,1,OWN,6,3,,,2,3,CHI_CARE,3,3,4,4,5,3,2,,,,,,,,4
9180,38,N,4,1,Y,N,Y,N,N,1,47,2,APT,112,1,OWN,5,3,,,3,,,3,2,2,4,5,1,,MANUFACTURE,skill_own_worker,1,1,50,0,1,4
9206,38,N,4,0,Y,N,Y,N,N,1,47,2,APT,83,1,OWN,3,1,1,WORK,1,1,WORK,4,5,3,3,3,1,,MANUFACTURE,skill_own_worker,1,1,54,0,3,2
9333,38,N,3,0,Y,N,Y,N,N,2,47,2,APT,84,1,OWN,4,3,,,3,,,2,2,4,4,4,3,4,,,,,,,,2
5330,24,N,2,0,N,N,Y,N,N,1,47,2,APT,60,5,COMPLIMENTARY,7,1,5,SOCIALIZING,1,1,WORK,3,3,3,3,6,1,,SOCIAL_WELFARE,office_worker,1,1,40,16,1,3
2270,11,Y,3,0,Y,Y,N,N,N,2,48,2,APT,85,2,JEONSE,9,1,3,CHI_CARE,1,3,CHI_CARE,1,1,4,4,5,1,,TRANSPORTATION,simple_worker,2,2,16,0,1,2
2811,11,Y,4,0,Y,Y,N,N,N,2,48,4,ETC,86,1,OWN,6,2,6,MOVETIME,2,6,HEALTH,3,3,4,2,5,1,,ETC,service_worker,5,,10,0,5,4
2819,11,Y,4,1,Y,Y,N,N,N,2,48,4,ETC,82,1,OWN,8,4,,,2,3,CHI_CARE,3,3,4,4,4,1,,EDUCATION,service_worker,2,2,12,0,1,2
2992,11,Y,4,0,Y,Y,N,N,N,1,48,2,APT,96,3,RENT_DEPOSIT,9,3,,,2,1,WORK,1,1,2,3,5,1,,IT,expert,1,1,45,0,1,2
2993,11,Y,3,0,Y,Y,N,N,N,1,48,2,APT,96,2,JEONSE,9,3,,,2,1,WORK,3,3,2,3,6,1,,FINANCE,manager,1,1,45,0,1,2
3002,11,Y,3,0,Y,Y,N,N,N,1,48,2,APT,120,1,OWN,9,2,1,WORK,1,1,WORK,3,4,3,4,6,1,,IT,expert,1,1,40,0,1,3
3091,11,Y,5,0,Y,Y,N,N,N,2,48,2,APT,85,1,OWN,7,3,,,2,4,HOUSEWORK,3,3,4,4,4,1,,PROFESSIONAL_SER,expert,1,1,40,0,1,3
3195,11,Y,6,0,Y,Y,N,N,N,1,48,2,APT,122,1,OWN,9,3,,,2,1,WORK,2,2,3,2,6,1,,FINANCE,office_worker,1,1,40,0,1,2
3197,11,Y,3,0,Y,Y,N,N,N,1,48,3,SMALL_FLAT,140,4,RENT,4,2,6,MOVETIME,2,7,ETC,3,3,3,3,3,1,,ETC,skill_own_worker,3,2,45,0,1,3
